,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
224,2.139701414108276,0.09107582763105002,0.013301515579223632,0.0015477364277687088,gblinear,0.2,9,350,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 350, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-274488.3812966418,-268282.69177815807,-270021.12560283137,-263587.29073973245,-272657.56662258867,-269807.41120799043,3770.8144658713904,199,0.6750670389764643,0.6647210808745774,0.6960428724881709,0.6282874421483147,0.6644238886934437,0.6657084646361942,0.02195776491128461,199
225,2.5544108390808105,0.03280471209378432,0.016440439224243163,0.0048407795444647735,gblinear,0.2,9,400,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 400, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-271925.1191697761,-265875.786306005,-267638.3988507312,-261828.74749144368,-270341.7205973864,-267521.95448306843,3534.826021324025,193,0.680712346831911,0.6703187509225577,0.7046532019125431,0.6318912368425009,0.6701989627021454,0.6715548998423315,0.02347734749728791,193
226,3.4229620933532714,0.14742639203938304,0.02089061737060547,0.009931841985686961,gblinear,0.2,9,500,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 500, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-267627.7855254975,-261628.51804604853,-263187.48565844743,-258487.18322184193,-266182.35306471685,-263422.6651033104,3253.680065590281,187,0.6900165361081408,0.6791621755734051,0.7192634489124086,0.6373308971165242,0.6796234130377887,0.6810792941496535,0.026296848271936207,187
227,4.368240690231323,0.23626951398100116,0.018136024475097656,0.004687337698224468,gblinear,0.2,9,700,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 9, 'n_estimators': 700, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-260679.6127176617,-254788.18897790916,-255696.4092058183,-252449.4874766646,-259261.9415350809,-256575.12798262696,3001.7318096565064,169,0.7029966743281918,0.6906223547899005,0.7406424208601294,0.6438183227495267,0.6926187773888494,0.6941397100233195,0.030944708668673677,169
228,1.542446994781494,0.05613291072228038,0.012232160568237305,0.0007459882361886035,gblinear,0.2,10,250,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 250, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-280230.50042754976,-273879.28402107966,-275515.0185030336,-267538.2456829496,-277780.424684972,-274988.69466391695,4296.214216031937,217,0.6611040018452738,0.6501872653414129,0.6756609706035286,0.618410599163498,0.6499371462721524,0.6510599966451732,0.01883664284825988,217
229,1.9476335048675537,0.06906020186965697,0.01582756042480469,0.002440113593406766,gblinear,0.2,10,300,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 300, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-277246.9022465796,-270965.30785236467,-272700.0487029403,-265459.00855631614,-275145.83717719355,-272303.42090707883,4032.6462425936716,211,0.6685923529514535,0.6580981623051589,0.6864151214881631,0.6238780093490983,0.657742837718858,0.6589452967625464,0.02039379883516579,211
230,2.0799227237701414,0.108033944190269,0.02108592987060547,0.01629197495189192,gblinear,0.2,10,350,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 350, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-274488.3812966418,-268282.69177815807,-270021.12560283137,-263587.29073973245,-272657.56662258867,-269807.41120799043,3770.8144658713904,199,0.6750670389764643,0.6647210808745774,0.6960428724881709,0.6282874421483147,0.6644238886934437,0.6657084646361942,0.02195776491128461,199
231,2.336599254608154,0.073118746967583,0.020253610610961915,0.00986712874174844,gblinear,0.2,10,400,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 400, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-271925.1191697761,-265875.786306005,-267638.3988507312,-261828.74749144368,-270341.7205973864,-267521.95448306843,3534.826021324025,193,0.680712346831911,0.6703187509225577,0.7046532019125431,0.6318912368425009,0.6701989627021454,0.6715548998423315,0.02347734749728791,193
232,2.6981905460357667,0.03318063660149668,0.012114000320434571,0.0009679941754087315,gblinear,0.2,10,500,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 500, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-267627.7855254975,-261628.51804604853,-263187.48565844743,-258487.18322184193,-266182.35306471685,-263422.6651033104,3253.680065590281,187,0.6900165361081408,0.6791621755734051,0.7192634489124086,0.6373308971165242,0.6796234130377887,0.6810792941496535,0.026296848271936207,187
233,3.689116382598877,0.1900902053368038,0.011913061141967773,0.0010657241040201951,gblinear,0.2,10,700,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.2, 'max_depth': 10, 'n_estimators': 700, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-260679.6127176617,-254788.18897790916,-255696.4092058183,-252449.4874766646,-259261.9415350809,-256575.12798262696,3001.7318096565064,169,0.7029966743281918,0.6906223547899005,0.7406424208601294,0.6438183227495267,0.6926187773888494,0.6941397100233195,0.030944708668673677,169
